Year,SIA,Model
2015,4.406589985,ACCESS-CM2
2016,4.879930496,ACCESS-CM2
2017,4.308875084,ACCESS-CM2
2018,3.662474394,ACCESS-CM2
2019,3.031529427,ACCESS-CM2
2020,3.173779726,ACCESS-CM2
2021,2.055540085,ACCESS-CM2
2022,2.603211641,ACCESS-CM2
2023,2.63637352,ACCESS-CM2
2024,2.157877684,ACCESS-CM2
2025,2.447435617,ACCESS-CM2
2026,1.735270143,ACCESS-CM2
2027,1.014968872,ACCESS-CM2
2028,1.150115967,ACCESS-CM2
2029,1.482950091,ACCESS-CM2
2030,1.988196731,ACCESS-CM2
2031,1.519281268,ACCESS-CM2
2032,1.553678751,ACCESS-CM2
2033,2.252891541,ACCESS-CM2
2034,0.867925346,ACCESS-CM2
2035,0.634968221,ACCESS-CM2
2036,1.566034913,ACCESS-CM2
2037,0.453186959,ACCESS-CM2
2038,0.626008451,ACCESS-CM2
2039,0.926353335,ACCESS-CM2
2040,1.008484125,ACCESS-CM2
2041,0.75578624,ACCESS-CM2
2042,0.573421717,ACCESS-CM2
2043,0.222340435,ACCESS-CM2
2044,0.39847824,ACCESS-CM2
2045,0.290363461,ACCESS-CM2
2046,0.539393544,ACCESS-CM2
2047,0.342341602,ACCESS-CM2
2048,0.227337584,ACCESS-CM2
2049,0.64594245,ACCESS-CM2
2050,0.077167116,ACCESS-CM2
2051,0.142108738,ACCESS-CM2
2052,0.107814662,ACCESS-CM2
2053,0.255345255,ACCESS-CM2
2054,0.158710793,ACCESS-CM2
2055,0.079685576,ACCESS-CM2
2056,0.038125876,ACCESS-CM2
2057,0.060027659,ACCESS-CM2
2058,0.041077208,ACCESS-CM2
2059,0.022742823,ACCESS-CM2
2060,0.043550208,ACCESS-CM2
2061,0.062316541,ACCESS-CM2
2062,0.034330755,ACCESS-CM2
2063,0.028644236,ACCESS-CM2
2064,0.052192952,ACCESS-CM2
2065,0.167766362,ACCESS-CM2
2066,0.082661629,ACCESS-CM2
2067,0.048322152,ACCESS-CM2
2068,0.026313305,ACCESS-CM2
2069,0.039793704,ACCESS-CM2
2070,0.05528013,ACCESS-CM2
2071,0.015341028,ACCESS-CM2
2072,0.019451926,ACCESS-CM2
2073,0.10230276,ACCESS-CM2
2074,0.02038775,ACCESS-CM2
2075,0.011828181,ACCESS-CM2
2076,0.013367009,ACCESS-CM2
2077,0.009894277,ACCESS-CM2
2078,0.012380395,ACCESS-CM2
2079,0.018463723,ACCESS-CM2
2080,0.009998502,ACCESS-CM2
2081,0.023740176,ACCESS-CM2
2082,0.012947658,ACCESS-CM2
2083,0.011560244,ACCESS-CM2
2084,0.009359492,ACCESS-CM2
2085,0.001890197,ACCESS-CM2
2086,0.002654674,ACCESS-CM2
2087,0.004906842,ACCESS-CM2
2088,0.006728492,ACCESS-CM2
2089,0.002303683,ACCESS-CM2
2090,0.001393312,ACCESS-CM2
2091,0.006051277,ACCESS-CM2
2092,0.004520572,ACCESS-CM2
2093,0.002024504,ACCESS-CM2
2094,0.000572782,ACCESS-CM2
2095,0.0002329,ACCESS-CM2
2096,0.000693157,ACCESS-CM2
2097,0.005389602,ACCESS-CM2
2098,0.000101244,ACCESS-CM2
2099,0.000409113,ACCESS-CM2
2015,2.58746624,AWI-CM-1-1-MR
2016,3.051052809,AWI-CM-1-1-MR
2017,1.831350684,AWI-CM-1-1-MR
2018,2.321813822,AWI-CM-1-1-MR
2019,2.809925795,AWI-CM-1-1-MR
2020,3.603052855,AWI-CM-1-1-MR
2021,2.370617151,AWI-CM-1-1-MR
2022,2.245734215,AWI-CM-1-1-MR
2023,1.916609645,AWI-CM-1-1-MR
2024,1.837359071,AWI-CM-1-1-MR
2025,1.82858777,AWI-CM-1-1-MR
2026,2.054983854,AWI-CM-1-1-MR
2027,1.739698768,AWI-CM-1-1-MR
2028,0.8465029,AWI-CM-1-1-MR
2029,1.515663505,AWI-CM-1-1-MR
2030,1.294819236,AWI-CM-1-1-MR
2031,1.119259834,AWI-CM-1-1-MR
2032,1.00940299,AWI-CM-1-1-MR
2033,0.878254533,AWI-CM-1-1-MR
2034,0.94082582,AWI-CM-1-1-MR
2035,1.686606765,AWI-CM-1-1-MR
2036,0.884111047,AWI-CM-1-1-MR
2037,0.978396058,AWI-CM-1-1-MR
2038,0.929846704,AWI-CM-1-1-MR
2039,0.85480231,AWI-CM-1-1-MR
2040,1.329732776,AWI-CM-1-1-MR
2041,0.717040658,AWI-CM-1-1-MR
2042,1.144561172,AWI-CM-1-1-MR
2043,0.559687078,AWI-CM-1-1-MR
