Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CanESM5,EC-Earth3,EC-Earth3-Veg,GFDL-ESM4,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,UKESM1-0-LL
2015,4.016936302,3.722536802,2.535365582,5.821125031,8.450920105,2.075384378,2.848692179,4.069930553,4.345405102,4.152863979,3.733562469,4.416980267,4.048,4.221,7.203721046,5.578814983,3.596870184,2.848152876,4.028205395,2.976954699,2.581188202,1.68280917,1.161367893,5.587
2016,3.360513449,4.116145134,2.759389162,4.41780901,8.287731171,1.473472118,2.950517654,2.814590693,3.354312897,4.185804367,3.339688778,3.578287125,3.225,3.516,7.065684795,5.168783188,1.934258342,2.6442976,3.587768793,2.815271616,3.354911566,2.727669371,1.512400746,5.43
2017,2.970104218,3.769334555,2.903031111,5.067603111,7.826936722,2.23515892,2.034842491,4.781738758,2.994158506,4.559436798,2.4158566,4.652466774,3.717,3.809,6.626211166,5.486931801,2.421961308,2.849173546,3.783875227,2.514794111,2.707970858,3.571746198,0.723778725,5.048
2018,2.985519171,3.528844357,2.500506401,5.201142788,6.427790642,2.157574415,2.941987038,4.750103474,3.664716482,2.73169899,4.236258984,4.060685158,2.86,3.741,6.540770531,5.807226181,1.696364045,3.205801964,3.991354227,2.642941475,2.807549477,1.714472982,1.680425048,4.332
2019,3.389266014,4.241779327,1.830950737,5.18718195,6.954786301,1.648307204,2.849447012,4.506397724,4.021740437,3.390816689,2.726178646,3.451368093,2.431,2.997,7.009674072,5.108190536,1.430346608,2.797417164,3.349458694,1.311992407,2.789759398,1.807341729,0.841583848,4.188
2020,2.122594118,3.794184208,1.918186426,5.214234352,6.588366508,0.951310754,2.457583666,4.550533772,3.698666334,4.00049305,3.02552557,3.451929569,2.319,3.666,6.639623642,3.87280941,1.254905343,2.547584295,3.185251713,2.266827106,2.459574223,1.406253896,0.363488287,4.1
2021,2.363149166,2.898268223,1.648449898,5.312723637,6.727650166,0.997885585,2.991647959,4.695851803,2.960884094,5.048609257,2.358325958,3.067158937,1.529,2.987,6.647297859,3.33336401,1.253445148,2.715971231,3.393083811,2.857937813,2.364313364,1.134540691,0.972481072,4.213
2022,1.940847397,2.151373386,2.288818359,5.096951008,6.015294075,0.776550889,1.637039304,3.922489882,3.446195841,4.107909203,3.150319099,2.948335409,1.74,2.747,6.108062744,4.275978565,1.12377882,2.747058392,3.388715744,2.387724161,2.068659782,1.188454807,1.163630128,3.607
2023,2.876157522,2.882771015,2.171884775,4.878946304,5.539078236,0.897114813,2.437852144,4.082912445,2.940962553,5.248161793,3.410341978,3.466807604,1.792,3.057,6.25512886,4.756772995,0.820833325,2.685799837,3.43744874,2.903245211,2.141325474,2.263817717,0.611728966,4.166
2024,2.676733255,3.218345404,1.797461748,5.917670727,6.236180305,1.32625699,2.393713951,4.583416939,2.281213045,4.205521107,2.260959387,3.69819355,1.547,3.048,6.94744873,4.819824696,1.738140583,2.43154645,3.416166067,2.882184505,2.54600358,0.623255509,1.411483645,4.041
2025,1.687303543,2.664758205,1.2479316,5.593212128,5.762948513,0.771968067,2.569780111,3.445944548,1.30099833,4.643027782,2.19373107,3.313873053,1.415,2.186,6.334612846,4.795054913,1.338698983,2.455506563,3.167611599,2.767508268,2.181726933,1.466969757,0.605138481,4.404
2026,2.340358496,2.380217075,0.501253128,5.684861183,6.622303486,1.261950612,3.368837595,3.692626715,2.126170874,4.221247196,2.10965538,3.375466824,1.983,3.045,6.098668098,4.668255806,0.940479696,2.459589958,3.457236052,2.158526182,2.410099745,1.364909337,0.570255578,3.482
2027,2.024366379,1.651596785,0.836459219,5.144254208,6.326085567,1.289953589,2.340039253,3.75998354,2.160215139,4.233287334,2.506655931,2.977622986,2.696,1.799,7.412112236,4.422488689,2.031327963,2.449108362,3.621182203,1.679447174,3.133117914,2.015040701,0.825525403,4.383
2028,1.7476511,2.059184313,1.590668082,5.05923748,6.1115098,0.756223381,3.38231349,2.886378288,2.521713257,3.866632223,2.822716951,2.776634932,1.055,1.503,7.448230743,4.402159214,1.857009888,2.339116335,3.531974077,2.115535975,3.112882614,1.068470113,0.630674422,2.5
2029,0.789424121,2.429092884,1.806134939,5.2735672,6.171258926,0.776409984,4.344259262,3.656255484,1.833680987,5.051293373,2.099686623,2.968296528,1.795,2.21,6.828388214,3.764998674,1.392305017,1.895367622,3.16755724,1.746306181,2.500090599,1.790740333,0.429752618,2.025
2030,3.339690208,2.834156752,2.120930672,5.236203671,5.964931011,0.904993296,3.364759684,4.485910892,1.908893108,4.57162571,3.348683357,3.333589792,0.92,1.379,6.323378563,4.0373106,1.154386878,1.767914295,2.921060801,1.961773515,2.324404955,2.085350299,0.911891341,1.927
2031,2.62402153,2.54856801,1.892715573,3.400968313,6.069734097,1.280995369,3.266299248,4.16898632,2.463989258,4.000725269,2.93729353,2.679541349,0.989,0.71,6.629322052,4.527566433,1.971471786,1.781096816,2.45389986,2.072082996,2.318123341,1.823676616,0.628754497,1.754
2032,2.009076357,2.176553249,1.400312185,4.391823769,6.100650787,0.901283622,2.942074299,3.297603846,1.795600176,2.878197908,3.304726601,3.106615782,1.109,1.252,6.339060783,5.002896786,1.872710347,2.103359938,2.714208126,2.385625124,2.320866585,1.463615579,0.397062212,2.082
2033,0.970712483,1.581361532,1.251448274,3.178789377,6.470788479,0.804084897,1.680227399,2.720641613,1.671223164,2.565274715,2.755299091,2.969877958,0.698,0.822,6.919413567,4.315179825,1.593062878,1.948308706,3.462664127,2.541302204,2.346686363,0.669928649,0.528701127,0.656
2034,3.245729923,1.720660448,2.135679245,4.733406067,6.25934124,0.552265525,1.881803632,3.651244402,1.121598244,2.823075294,1.980210185,3.040166378,2.156,0.633,6.665498257,3.686578274,0.739334583,1.623654127,3.581642151,2.525746346,2.514624119,1.683020837,0.326207817,0.702
2035,1.023976684,1.729801059,1.638682842,2.663355589,7.023296356,0.430086166,1.302103281,3.756302595,1.057034373,3.611899614,2.515578032,3.4659307,0.473,1.079,7.161619186,4.477955818,0.956221938,1.925816178,3.249417543,2.473483324,2.371362686,0.497573615,1.300463438,0.452
2036,1.480056882,1.231586337,1.552033782,3.211564302,6.503432751,0.584222555,0.855970442,4.53680563,0.668525815,2.691329002,2.377357244,3.238892078,0.165,0.48,6.817446709,4.018104076,0.915293872,2.746477842,3.043729305,2.672110081,2.618217468,0.965435383,0.446586907,0.781
2037,0.742709279,1.64610815,1.543735981,2.983855247,6.365391254,0.654471099,1.182213783,4.483671188,1.319410443,3.434023857,2.944041014,3.283876657,0.411,0.356,6.803100586,3.67530632,0.708997548,2.482943058,2.488757372,2.157490015,2.526774406,0.254373619,0.239690155,0.657
2038,0.39719221,0.878083527,1.373763561,3.718492746,5.961110592,0.568691015,1.14359498,3.983109951,1.026895285,2.807067394,2.790672779,2.873970985,0.596,0.58,6.616524696,4.653915405,1.032319903,2.516215086,2.53000021,1.666611075,2.683578253,0.222923372,0.386002332,0.683
2039,0.731722653,1.090933323,1.572936773,4.154241085,6.153740406,0.307842612,0.59038192,4.225811958,0.769376993,3.269694805,3.652547121,3.199188232,0.29,0.268,6.309889793,5.091063499,0.916647851,1.740910888,2.612428904,1.427624702,2.495539665,0.553142174,1.019937158,0.456
2040,0.308178365,1.820702434,1.379322529,2.564558029,5.702807426,0.471716583,0.533005953,4.207550526,0.688425422,2.825479984,3.989116907,2.757595062,1.795,0.207,6.349503517,4.543584824,1.316991806,1.434099913,2.351993799,1.482672095,2.075288296,1.080828678,0.436267048,0.796
2041,0.518659174,1.410062909,1.487055302,5.520298481,5.623448372,0.281076759,0.950968504,2.844058037,0.720979154,2.253964424,2.851993322,2.321464539,0.636,0.153,6.213589668,4.889866352,1.232645512,1.760946393,2.490666151,1.032879829,2.099598646,0.460144942,0.242832169,0.324
2042,0.697390795,1.419140935,2.069580078,4.235325336,5.174813271,0.336450696,0.661760092,4.074846745,0.289973378,2.422332048,2.302362919,2.639957905,0.546,0.167,6.45311594,4.88628912,1.244808316,1.79882884,2.365343809,1.038327575,0.92814368,0.311817414,0.610421419,0.414
2043,0.323773503,1.109308004,1.409351587,4.376317024,5.858389854,0.266873777,1.485485435,3.53543067,0.569476068,2.175964117,2.147358179,3.425028086,0.935,0.196,6.384988308,4.512880802,1.042413712,1.510617852,2.605742693,1.296289325,1.761804342,0.697875502,0.726887107,0.333
2044,0.212004781,1.170792937,0.771584272,4.356944561,5.958714485,0.393795013,0.690422356,3.178108931,0.420236051,2.69750762,3.712577581,3.608434677,0.418,0.233,6.5220294,3.946833134,0.406353951,1.232846141,2.590015173,1.3976264,1.287324429,0.284165753,0.55579108,0.193
2045,0.828189492,1.106050611,0.8158499,4.264633179,6.727143288,0.331291735,0.965511203,3.009843111,0.941564262,2.150567293,3.268767834,3.022940636,0.833,0.232,7.187179565,4.44686985,0.365839094,1.297190547,2.399034977,1.324314475,0.525999784,0.680786974,0.502277672,0.144
2046,0.884988308,1.83823669,0.817683756,3.853475809,6.247759819,0.445920289,0.543340385,3.589790583,0.702822566,1.18829143,2.340155125,2.425670147,0.46,0.303,6.439815521,4.909601212,0.305159509,1.876376867,1.700626373,1.771808982,0.531487286,0.286769472,0.957162499,0.158
2047,0.251625568,2.781950951,0.194064632,2.311933041,5.881826878,0.330827624,1.104944348,3.873180389,0.554691374,1.538449168,3.203720331,2.984188557,0.378,0.404,6.928836823,5.283880234,0.301778674,1.376037955,1.452868581,1.315236211,1.840430021,1.058485427,0.778778076,0.155
2048,0.252416193,2.224087954,0.792897642,2.352024555,6.03735733,0.25426361,0.589842141,4.123584747,1.055508018,3.551060915,3.204306841,3.65747261,0.27,0.209,6.376280785,4.491365433,0.392053664,1.693005443,1.371321678,1.363187432,1.82478869,1.578321911,0.312515587,0.263
2049,0.208965406,3.478102207,0.714445174,4.273563862,6.089048862,0.368583322,0.931419969,4.590833664,0.759413958,2.981976748,2.567965984,2.611621618,0.255,0.351,6.455318451,4.407738686,0.46449253,1.592131972,1.468335032,1.609287262,1.560887575,0.732631905,0.637240231,0.214
2050,0.518055797,2.156431675,1.020375371,2.110115528,6.563061714,0.348879606,0.48206228,4.432831764,0.693621814,1.475927472,2.092947006,3.05608201,0.216,0.14,5.810651779,4.543707848,0.275205135,1.398517489,1.37112391,2.111808062,1.92728591,1.078037246,0.720643759,0.178
2051,0.235451877,0.758927107,0.682941377,2.78970933,5.875328541,0.379292607,0.723686278,3.104223251,0.704384387,2.148785114,2.397443533,3.347623348,0.141,0.474,6.440734386,4.032218933,0.019842092,2.084664583,1.298150301,2.368280172,1.556095839,1.066415788,0.275028259,0.21
2052,0.318785429,1.583276629,1.031840444,4.135325432,5.551732063,0.35649991,0.596750081,2.744083405,0.636921406,1.337434173,3.118654966,3.710990906,0.066,0.208,5.608686447,5.113664627,0.30774492,1.996527791,2.100628853,1.869159579,2.11934638,1.896199383,0.445614368,0.592
