Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,HadGEM3-GC31-LL,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,UKESM1-0-LL
2015,4.643160343,3.140591145,2.871471882,4.310856819,7.401861668,2.944526196,4.252841473,4.435247898,4.334752083,4.691986561,3.773549795,3.540028334,1.84208858,4.161562443,4.34526968,4.191,6.229784489,4.909635067,3.443631887,2.774867535,3.568690062,2.434123278,3.294954538,1.226773825,1.304007053,3.956883907,5.612
2016,4.684958935,4.426805973,2.393312216,4.46778059,7.280437469,1.799462795,3.526368856,4.533155441,3.656860828,4.396779537,3.579694033,4.336185455,1.81087184,5.017323017,4.093168736,4.178,7.124239922,5.162259102,3.11413455,2.741851568,4.022778988,3.488062382,2.779286623,1.690300934,1.299175143,3.550920725,5.731
2017,4.752002716,3.020721674,2.419796228,5.386291504,7.616961002,2.310961723,3.064183474,6.124222755,3.763091326,4.235070705,4.04245615,3.918821812,1.9738276,3.981288195,2.797660351,4.07,6.903636456,5.689040184,1.458031654,3.438574314,3.835954428,3.626753569,3.095444679,1.864200282,0.618995309,3.685874701,5.739
2018,4.175228119,3.118518829,1.88569212,5.496351719,6.9725914,2.45560813,3.289031029,4.584718704,3.075377941,4.312101841,3.456205606,4.194379807,2.96362114,4.576019764,3.249629021,3.229,6.623898506,5.433498383,1.759772182,3.189479589,4.017063141,2.544373035,2.942256212,1.686481534,1.105975151,4.249057293,5.385
2019,4.14043808,3.311960459,1.844489932,3.909726381,6.88478756,2.556751013,4.199368,4.667119026,3.913526297,4.101851463,2.291033506,3.663374662,1.465259433,4.124275684,3.148299694,2.706,6.461866856,5.408720016,1.256672978,2.833077908,4.214921951,3.10714674,3.103978872,2.780885937,1.424453974,2.605018854,4.692
2020,3.587141514,2.969721794,1.847622633,5.38824892,6.964283943,1.16552496,4.058846474,4.207320213,3.397111416,3.424893618,3.832753181,3.501850605,1.600075364,4.71421814,3.943325043,1.46,6.762949944,4.830054283,1.081236005,3.023706436,3.759116888,2.259128571,3.344320059,2.274630211,1.463946819,3.896671057,3.88
2021,2.857345343,4.489288807,2.331195593,4.126207352,7.156521797,0.60886246,2.649690628,4.688876629,3.567063093,2.83038044,3.98998642,3.59974432,3.028373718,5.121598244,3.415114164,1.553,6.830555439,5.006222248,1.166158199,2.936249256,4.387670517,2.741404057,3.161022186,1.035521999,0.739211082,3.337720394,4.792
2022,2.135886431,4.325658321,1.31611836,5.484339237,6.621747494,1.092707515,2.526361942,3.89756012,2.34167552,2.10247016,3.212448359,3.53791213,2.87161541,4.742548466,3.016106367,1,6.431980133,4.610944271,0.782743394,2.557214499,3.740049839,2.190931082,3.110435247,1.524300901,1.224819779,3.185322046,4.295
2023,2.872786045,3.644497156,1.799275637,4.659745693,7.252130508,0.959788322,2.625804901,3.62737751,3.490834951,1.423520088,3.298364162,3.402788401,1.95506978,4.07562685,3.271322489,1.325,6.430682659,4.347603798,1.25622189,2.59468174,3.825674772,2.191903591,3.028148174,1.24874065,0.912571847,3.333209038,3.227
2024,2.045936823,3.344687939,1.030884981,6.10175848,6.861190319,0.701435506,2.315830469,3.525283337,3.120432138,1.883410096,2.797088385,3.21268177,2.163736343,3.757576942,3.536116362,1.096,6.500406265,5.220711708,1.080913663,2.848368883,3.201076269,2.24271059,2.774975061,1.220724243,1.065359592,5.020642281,3.272
2025,2.355679989,3.622407675,1.201220393,5.310219288,6.669157028,1.278259635,2.735705376,4.093329906,3.652267456,2.070565462,2.694056273,3.40637207,2.918106318,3.24879837,4.072771072,1.322,6.761075497,5.703902721,1.46747458,2.569138288,3.513709545,1.675268412,2.986867666,1.244057373,0.859863222,4.770581722,2.813
2026,2.818126202,2.797129154,1.290681481,4.371859074,7.010706425,0.798362613,2.253402233,3.811507225,2.795134068,1.738893628,2.637332916,3.180354595,1.910276532,4.404648304,4.716272831,0.626,7.002399445,5.661595345,0.606370747,3.039703369,3.760477066,1.658992887,2.818068743,2.208260098,0.550795376,4.802650452,2.453
2027,1.235617042,2.975333691,0.526887238,3.998992205,6.73000288,1.080366492,2.974772215,4.590441704,3.203855753,1.467903852,2.499413252,2.13312149,1.377066016,4.15664053,4.073391914,0.668,6.183596611,5.639677525,1.503299356,2.998404026,3.596307278,1.458397746,2.800949812,1.511766807,0.552802086,4.701870918,2.335
2028,1.6065135,2.695703506,1.721417427,3.76239872,6.17231226,0.748707771,2.334007978,4.830649853,3.619035721,1.807382464,2.440434456,3.381243706,1.694836974,4.330649376,3.757541418,0.646,7.001672745,5.381624699,1.116716743,2.643933058,3.191114664,1.244763017,2.707176447,2.695185041,1.18442297,3.696312666,3.237
2029,1.081497192,1.814844847,1.543304086,2.593184948,6.482717514,0.676911235,1.552343369,3.879456043,0.734121203,1.614684582,1.56060648,2.776601553,2.165199518,3.005321503,3.056175947,0.499,6.482053757,5.620930672,1.945147157,2.2037642,3.2344203,1.273754954,3.368204594,1.100678447,1.090816975,4.390841007,2.229
2030,2.435256481,1.596783996,1.13738203,5.146363258,5.927139282,1.390096545,2.044800997,4.515965462,2.674476385,0.663977683,2.212805271,2.988001585,1.635934949,2.769002199,3.056936979,0.474,6.607356071,4.922195911,1.237680793,2.500778675,3.041954041,1.559432268,3.190820694,2.56205776,0.557280898,4.539482594,1.559
2031,1.742585421,3.017609835,1.262109518,4.746863842,6.191221714,1.247999907,3.128654003,3.913666248,1.973533869,1.062978625,2.769961357,2.002784252,2.360877991,3.49897337,3.735735655,1.582,6.644473076,4.829917431,0.518135309,2.792276859,2.785773277,1.626138091,2.728845596,2.618581607,0.814432442,4.051506519,1.639
2032,2.415313005,1.331543922,1.0430758,5.006735802,5.919028282,1.119496226,1.521235228,3.44806385,3.492460728,1.277492642,3.803990841,2.447881222,2.919023991,3.446178436,3.784152031,0.798,6.005173683,5.579042912,0.523202062,2.156285763,2.968707561,1.2870121,3.043861151,1.15849173,1.121551752,3.933614016,1.318
2033,1.292721987,2.057278395,1.629922986,4.737651825,5.689564705,0.47116071,1.817141056,4.242396355,2.48766923,1.263427973,3.0752213,2.788888216,1.988309979,3.132189035,3.964424849,1.076,6.328918457,5.766955376,0.021475013,2.019795895,2.102341175,1.315478444,3.252137184,1.833499595,1.135035396,4.291399956,1.091
2034,1.419990301,2.140925169,1.865461946,3.242206812,5.815057755,0.752280951,1.876009941,4.069770336,3.598828316,1.049958348,4.040999413,2.107768774,1.538485527,3.321961403,2.278928757,1.812,5.838125229,5.043328285,0.377000988,2.369042158,2.831433773,1.238754153,2.717300177,0.953793412,0.691603601,3.254345179,1.949
2035,1.342210889,2.61810565,1.16015923,3.462358713,6.534126282,0.865631223,0.66879338,3.857834816,4.099649906,0.836654484,1.842245102,2.959700584,1.69407773,3.535630465,2.760799646,0.391,5.778564453,5.051503181,0.073395915,1.99750185,2.705065727,1.344083071,2.521337986,1.989442047,0.734187067,2.450974464,1.293
2036,1.826111436,1.994854212,0.935557008,5.473857403,6.625704765,0.292346597,1.202260971,3.826937914,2.162582159,1.166793585,3.073798656,3.162456512,1.074692607,2.978849649,2.903623819,0.817,5.73784399,5.043246269,0.054085832,1.831590414,3.154552698,0.981863439,2.796854973,1.489812592,0.77754724,2.364745378,0.703
2037,0.79601264,1.317947268,1.926437855,5.037716389,6.452877045,0.634272575,0.958358884,3.238867044,1.704441309,1.186907411,3.370933294,3.101104975,1.37130928,3.038890362,2.228186846,0.415,5.175345421,5.520311356,0.209033176,1.912515044,2.472980499,1.403614998,2.257404804,0.714922585,0.476716459,2.193377256,0.529
2038,0.1979554,2.406871796,1.196271658,3.52575922,6.639703751,0.37165451,0.706500232,4.875900745,3.359202862,0.901807606,3.555510521,3.186994791,1.180454493,2.703742981,1.716653109,0.215,6.29121685,4.918331146,0.980910718,1.243547797,2.519040108,1.885355234,2.20085454,0.641559108,0.612162828,2.299180746,0.618
2039,0.46700266,1.915635586,0.688922226,3.819683552,5.434254646,0.55820477,1.410948396,3.608673334,3.740041971,0.419880271,2.244804382,1.921554089,0.583538473,2.216191769,2.004924536,0.634,6.225763798,4.450026512,0.680638731,1.130897522,2.618524075,2.626981974,2.287667274,1.003184974,0.554593086,2.04047966,0.286
2040,0.629588306,1.317072988,0.533324897,2.366030693,5.882215023,0.496527284,1.06456542,4.272443295,4.41029644,0.775232494,1.324031234,0.955010533,0.514031649,2.198698521,3.18024826,0.139,6.527342796,3.684727192,0.344995409,1.417208433,2.630019426,2.376923323,1.885304928,0.614234747,0.267164439,2.223927498,0.286
2041,0.679466844,1.729060411,0.490370095,2.980633497,6.325575352,0.366486251,1.621631384,4.038175583,4.431642056,0.596466422,1.474407077,2.366582155,2.221667767,2.221215725,1.910109282,0.098,6.019734383,4.765272141,0.452387273,1.22430563,3.03504467,2.066667557,1.247422576,0.564207994,0.363670617,2.133121729,0.355
2042,0.208436877,1.961655974,0.939719141,3.942136049,6.404770374,0.390525192,2.186647415,3.494475126,3.884870052,1.009884953,2.537633896,1.190138817,1.264765739,2.770102262,2.27932477,0.163,5.599746704,5.295330524,0.471339494,1.224997044,2.441233397,1.621101499,1.420712471,0.480047905,0.370567113,1.915909529,0.256
2043,0.425343513,0.863254786,0.729164362,4.040068626,5.526123047,0.384186596,1.408426404,3.367249966,4.15094614,1.222648144,1.718541622,0.766654909,1.094902396,2.502710581,2.049287796,0.102,4.698536873,4.783072472,0.813224733,0.991600871,1.859311104,2.249853849,1.590176105,0.269399042,0.507990837,2.038252115,0.083
2044,0.159899756,0.91082859,1.197687268,2.126948833,6.541560173,0.337039381,0.791237533,3.183202505,4.023635387,1.174486995,1.864124417,0.697638929,1.550350666,1.90596664,3.542116642,0.18,5.446093559,4.414271832,0.14266108,1.570705056,2.057006598,1.304832458,1.206723928,0.247346142,0.222670153,3.247155428,0.253
2045,0.295926541,1.595854759,0.854526818,1.784535646,6.760801315,0.454422981,0.604061961,2.267330885,3.52234745,0.462578952,1.414228082,1.042997241,1.409523726,2.322072268,2.295759201,0.116,5.034554005,4.414774895,0.213277385,1.890103221,2.345555067,2.142129898,1.875368834,0.180525323,0.219921589,2.725281239,0.156
2046,0.244982138,0.827130139,0.746496916,4.068043709,6.928830624,0.62422049,0.72972697,3.269068718,3.697145462,0.952510715,0.437136173,1.729430318,1.861389875,1.392122388,2.810558319,0.149,5.118364334,4.139844894,0.163332045,1.215545774,2.073348045,1.695763707,1.084094644,0.156026562,0.311444491,2.20463872,0.198
2047,0.246063933,0.488642126,1.010968089,5.253166676,5.955880642,0.351703256,0.529307783,2.312372208,3.474226236,0.886150301,0.854477286,1.182778597,1.244708896,2.08675456,3.496482134,0.163,5.30949688,4.480307102,0.607467771,1.079271436,2.04598093,1.065591812,0.82192719,0.288254865,0.151160583,2.092274427,0.094
2048,0.290295005,0.575291395,0.314602762,4.033430099,6.31722784,0.362857163,0.463503957,2.161916256,3.197956085,0.184195608,0.392924935,1.119211316,1.610741615,2.303513288,3.039144039,0.254,5.190876961,3.861183643,0.310089588,1.917268753,1.06475842,0.764375389,0.701387525,0.340289479,0.215913832,1.92889607,0.107
2049,0.33946228,0.604482949,0.207830653,2.185082674,6.681465149,0.319018304,0.503098667,2.080331802,1.334065318,0.368552327,0.366305679,0.85612458,0.877663493,2.116372108,1.718588948,0.085,5.770943642,3.90718174,0.169965595,1.088578582,0.962882578,0.885355294,0.79123807,0.484086083,0.175569206,2.950129271,0.066
2050,0.480623186,0.752932489,0.046265356,4.615066051,6.766118526,0.313635707,0.585518658,3.108005524,2.679857254,0.547535717,0.011701237,1.383143902,0.648761451,1.832683563,2.723663568,0.105,5.433162689,4.154447556,0.10653583,0.777777493,1.335122824,0.625141919,0.886710048,0.098550922,0.126190498,2.39328146,0.044
