Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CanESM5,EC-Earth3,EC-Earth3-Veg,GFDL-CM4,GFDL-ESM4,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,UKESM1-0-LL
2015,4.406589985,3.857943296,2.58746624,5.391728401,7.455785751,1.320849657,2.78456068,4.713279724,4.34798336,4.215883255,3.428784132,4.877619743,4.403291702,4.123,3.949,6.643649101,4.962826252,2.483531713,3.391405106,3.658161879,3.384098053,3.296125889,2.31250099,1.751469731,4.420298576,5.749
2016,4.879930496,3.166712523,3.051052809,5.045109272,7.229918003,1.857516766,3.102660894,3.937200546,3.332374573,5.742580414,3.355621576,3.853611946,4.348563194,3.065,4.362,6.671127319,5.123779774,1.680621624,3.104762554,4.111732006,3.046408176,3.481299639,2.00753998,0.699147761,4.592875957,5.559
2017,4.308875084,2.704104662,1.831350684,5.42019558,7.211846352,1.686309695,3.846879244,4.621351719,3.585151196,5.093129635,3.133080006,4.941298008,3.73162055,2.556,3.649,5.899516582,5.534925461,1.659604549,3.541585445,4.245115757,3.453689814,3.801275253,1.97341975,1.368009686,4.651590347,5.317
2018,3.662474394,1.649624467,2.321813822,4.791595936,7.161072254,1.617118835,3.321621418,4.747655869,2.884198427,4.586049557,3.269530058,4.691751957,4.452122211,2.527,3.54,6.38466692,5.556830883,2.711355448,3.161899805,3.960478544,2.161751032,3.484514475,1.490443993,0.761366367,4.505673409,4.719
2019,3.031529427,3.721828938,2.809925795,4.120670319,6.759803295,0.895177603,3.858094454,3.941736221,3.506876945,4.750603676,2.822134733,4.982993603,4.457894325,2.39,4.173,6.33581543,6.089544296,2.68943119,3.353808165,3.5997262,2.746297121,2.856038332,0.808937947,0.353410512,4.164373398,5.126
2020,3.173779726,3.780118704,3.603052855,4.787742615,6.894948006,0.976667404,3.644306898,3.962490082,3.094820976,5.048421383,3.369279146,4.366420746,4.777668476,1.484,3.32,5.991141319,6.005494118,2.692319155,3.040118694,3.679809809,3.03091526,2.954225779,2.555351471,0.448908806,4.049238682,4.978
2021,2.055540085,3.346405268,2.370617151,4.147490501,6.721385956,1.851888061,3.495314837,2.756500721,3.185018778,4.334425449,2.070230484,5.076612473,4.223779202,2.05,3.798,5.923791409,5.086200714,1.230527163,2.656199932,3.919084787,3.354190588,3.153301239,2.213974259,1.206978917,3.249633789,4.263
2022,2.603211641,3.589830399,2.245734215,5.134088039,6.685472012,2.303881884,3.802941322,3.611338377,3.092619419,2.671976566,3.015375614,4.8078022,3.116707563,2.366,3.629,5.925964355,5.580050468,1.672855139,2.841876745,4.039396763,2.77127409,2.45754838,0.49271256,0.398174763,2.989212275,4.176
2023,2.63637352,2.86050725,1.916609645,5.49453783,6.25780201,1.093201041,4.254981041,3.611221075,3.275412321,2.839650393,2.362695456,4.4952631,3.646803617,2.159,4.153,6.076329708,4.975963593,1.512603283,2.55985117,4.458236694,2.602016211,2.558928013,0.884972676,0.746355057,2.303480148,3.743
2024,2.157877684,3.30350709,1.837359071,5.052350998,5.676366806,1.129927635,3.511992693,2.626448154,2.83044982,3.180963039,4.069902897,4.286606789,4.213610172,1.402,3.018,6.217591286,4.69233799,1.72587204,2.640265465,3.713735342,2.440250635,2.945845127,1.303276147,0.803828418,2.618989944,3.211
2025,2.447435617,3.462631941,1.82858777,4.149641991,5.906387806,0.666897476,3.149947166,4.107184887,3.324446201,2.056638956,3.358739376,3.960417509,3.086508274,0.328,2.423,6.377446175,4.754269123,1.615759373,2.55091691,3.034999847,3.175516129,2.730070114,1.406810377,1.072951078,2.912678719,3.493
2026,1.735270143,3.670610905,2.054983854,4.292725086,6.45014286,1.647202849,2.408893108,4.440823555,2.527523518,2.228734732,2.708236933,3.393738031,3.515199661,0.621,2.924,5.710205555,4.890370369,1.342826486,2.055510044,2.975626469,2.912069798,2.710713148,2.239763451,1.139620066,4.113488674,3.286
2027,1.014968872,3.702545643,1.739698768,2.7145648,6.409507275,0.976193845,2.443940878,4.165983677,1.905246615,2.533714294,1.928198934,3.638242006,3.707588196,0.497,2.585,5.54393959,4.545134544,1.749069095,1.856368184,2.808681011,3.090845346,2.666288853,1.179819007,0.492320597,4.703408241,2.855
2028,1.150115967,3.186595917,0.8465029,3.122847319,5.926310062,0.587878883,2.184737444,4.953503132,1.630395532,1.925336719,0.597903848,3.425538063,4.132556438,0.645,1.934,6.434045315,3.948392391,1.095150948,2.182079792,2.310514212,3.260880947,2.462677002,0.692212555,0.304534137,3.921994686,2.161
2029,1.482950091,3.049944401,1.515663505,3.533967018,6.152369022,0.479234248,2.384571314,6.516778469,1.858893394,0.979980648,1.551166892,2.668565512,3.986348629,0.2,1.262,5.842308998,3.861715317,0.539354801,2.400174856,2.315603971,2.52259016,2.189292669,2.438180673,0.51022619,4.376624107,1.501
2030,1.988196731,3.180424929,1.294819236,3.684826612,5.149674416,0.479256272,3.242038488,5.483988285,1.486937881,2.048167467,1.222349882,3.568046093,3.407585144,0.941,1.591,5.765104294,4.326090813,0.687739253,1.699881315,2.430442095,2.37552166,2.570899725,1.23340772,0.220166743,2.66211009,1.225
2031,1.519281268,2.813991785,1.119259834,4.009678364,4.818521023,0.498121142,3.056245565,4.348507881,1.719521284,2.481373787,1.225349426,2.917378187,3.108410597,0.557,0.816,6.539262772,4.085501671,0.743370473,2.068501711,2.787829876,2.335925817,2.044545412,1.205668931,0.191788986,3.535855055,0.671
2032,1.553678751,3.221704245,1.00940299,3.087035418,5.311201572,0.398948371,2.751231194,3.329508066,1.53877151,1.958842039,0.831523418,2.284188032,3.603973389,0.351,0.464,5.202013016,4.090304852,1.504582644,1.512946129,2.648893833,2.477029324,2.134949684,1.06091766,0.122012705,2.901230574,0.797
2033,2.252891541,1.646451235,0.878254533,2.972355366,5.466946602,0.501930654,2.212940931,2.178820372,1.098105669,2.206412792,0.379150778,3.494333506,3.723434448,0.348,0.805,6.007874012,5.096305847,0.998991489,1.859885573,2.692270279,2.004046679,2.352611542,0.82580952,0.134984955,2.404067993,0.4
2034,0.867925346,1.144866824,0.94082582,3.905398607,5.966110229,0.855592668,2.205249786,2.932864189,1.123480678,2.147978544,0.261243194,4.09419632,3.129051208,0.307,0.706,4.795274734,5.337629318,1.232626319,1.649912715,2.339463234,1.919489503,2.246905088,0.479359215,0.237859666,2.551898241,0.309
2035,0.634968221,1.349149346,1.686606765,3.805904388,5.30551672,0.423152059,1.745642066,3.653593302,1.182893395,2.869706154,1.27213037,3.165365934,2.848728657,0.202,0.626,5.895241261,4.610803604,1.940787792,0.974026322,3.037096024,1.413399696,2.060252428,0.808849154,0.203080416,1.805369496,0.351
2036,1.566034913,1.374272346,0.884111047,3.405152082,6.088344574,0.611803651,1.861668468,4.017868042,1.223582625,1.694197774,1.037112832,2.123273611,3.317974329,0.092,0.946,5.082150936,4.346755981,1.553297281,1.000528693,2.43198204,1.503254414,2.542244196,0.499436979,0.116595156,2.564856052,0.725
2037,0.453186959,0.947622538,0.978396058,3.660993099,5.821491718,0.374209523,0.910175323,2.644801855,0.583044112,2.73562479,0.788527131,2.482036352,3.081599712,0.117,0.936,5.678709984,3.868494034,1.895960093,1.309764743,2.065037966,1.128011227,2.172581196,0.385431433,0.159382254,2.281110525,0.229
2038,0.626008451,0.986453414,0.929846704,4.030538559,6.429472923,0.430996656,0.478303462,3.126948833,0.896079004,2.331708431,0.628017306,3.122931957,2.526527405,0.148,0.34,4.967958927,3.434245586,1.20985043,1.547198296,2.309601068,1.300086737,1.387881875,0.118526606,0.127276376,2.257362127,0.274
2039,0.926353335,0.980142832,0.85480231,3.190318823,6.303781509,0.207094088,1.884328246,3.703531265,1.073072195,1.323521376,0.83159858,2.709109545,2.176712751,0.112,0.221,5.042733192,3.956239939,1.251153827,1.186221004,2.668477774,0.413190871,1.982754827,0.083650035,0.077870309,2.35004735,0.219
2040,1.008484125,0.612747908,1.329732776,2.1135993,6.318357468,0.248884097,0.664427459,3.077563047,0.589338541,0.442981541,0.224048674,2.68406105,2.276899099,0.194,0.123,5.833697319,3.619836807,1.329952121,1.162077546,2.362130404,0.672828436,1.817738056,0.113589645,0.080517709,2.879829407,0.258
2041,0.75578624,0.589378119,0.717040658,3.268066406,6.711455822,0.226697728,0.399319112,2.37809968,0.596816897,0.343204975,0.466847181,3.046774149,2.3291049,0.151,0.311,5.649933815,3.226061344,0.724749863,1.089978337,2.039757967,1.185692787,1.548506498,0.30969972,0.115724087,2.122967005,0.097
2042,0.573421717,0.838260412,1.144561172,2.983703375,7.02358675,0.192360699,0.363469452,2.597550154,0.391619742,0.230413452,0.662094295,1.446879745,2.431238651,0.076,0.151,5.332798004,4.153636932,0.146120727,1.043677568,2.398887873,1.360442042,1.182894707,0.076496565,0.092580713,2.055003166,0.172
2043,0.222340435,1.23831892,0.559687078,1.527024031,6.2269454,0.213392392,0.233709827,3.239833832,0.176040068,0.42484045,0.265552372,2.385083199,1.994456053,0.086,0.097,5.624954224,3.694545746,0.197090998,0.803806961,2.245489836,1.551190495,1.02477932,0.038114784,0.054307468,2.692234039,0.098
2044,0.39847824,0.494930923,0.399651974,3.26140523,6.223793507,0.133700848,0.352860183,4.120573997,0.271970153,0.224042013,0.174810618,2.112616539,2.568580866,0.229,0.117,4.812319279,4.135365009,0.112695202,0.847301066,1.972086906,1.685718417,1.268356204,0.020657169,0.092558302,2.458019018,0.04
2045,0.290363461,0.76309669,0.350598782,2.335766315,6.49486208,0.132085636,0.407667398,3.463548183,0.419783533,0.068522416,0.518328488,2.52718091,2.045738697,0.089,0.06,5.125869274,3.218732357,0.013360623,0.531223893,1.54831481,1.267004848,1.768252492,0.031119643,0.056802019,3.371217012,0.098
