,Year,Observed,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Month
0,1979,-0.0874560117302053,-0.05541692857331377,-0.07708268149827711,-0.05917298180788125,-0.0887175258655792,-0.08438328334915692,-0.007178256034164224,-0.10182488880472876,-0.11409593933306453,-0.00995851807639297,-0.0453336549010264,-0.07177925767104108,-0.16218541622884897,-0.13292966939640763,-0.06572032988280789,-0.043032968330388575,-0.06394629391370968,-0.062261217536950145,-0.050733157146774205,-0.0773846077060484,-0.12125187521781526,-0.10522302052785927,-0.05959145894428152,-0.005968401591862181,-0.03526371368588709,-0.08201721173775658,-0.009359700196994133,-0.025726864232844582,-0.050118825656488265,-0.04612016577961877,-0.09766331959945015,-0.14804884532848236,-0.01212816723746335,-0.06350846999428153,-0.05832415820718475,-0.07319395161290322,9
1,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
4,1983,1.01375,0.492419254875,0.69214205888125,0.93298842315625,0.79615480911875,1.45350562023125,-0.06744110572499994,1.55120722238125,1.3658184290250002,0.03226745121250009,0.4810723795000002,0.9976137697125002,1.87439540771875,1.7838172647375,0.7579380391937501,0.9714756042312496,1.2891520621124999,0.9098297537125,0.5503724784999999,1.0112586559937504,2.3611038375375,1.3894999999999997,0.19448125000000016,0.06873445793750002,0.22699805508124998,1.3687200455750002,0.32743893283750003,0.18424219815000015,0.19219814558124987,0.6738769233874999,1.51714113946875,1.71731821686875,-0.2051921306999999,0.8464994684000001,0.7382604867,1.2915562500000002,9
5,1984,0.9657499999999998,0.7123479008750001,0.7227829470812499,0.8589806259562501,1.00234329711875,1.3974888890312498,-0.09014542092499996,1.44575153758125,1.4541360140250001,-0.08143723018749988,0.7641137137000001,0.9240576327125001,1.8969337837187499,1.7923892709374998,0.9693647739937502,0.8865801364312498,1.2270415427124999,0.9262757719125,0.5373155327,0.7766155779937501,2.0757982415374996,1.3261,0.2900812500000001,-0.05855970106249982,0.07230006468124993,1.278688898575,0.2841507972374999,0.1630312415500001,0.22810465118124995,0.6753624617875,1.38065369866875,1.76881872806875,-0.21641992929999976,0.7552810924000002,0.8559876711,1.1931562500000001,9
6,1985,0.7717499999999998,0.681590092275,0.8039068712812498,0.7139080703562501,1.1639911891187502,1.3130061238312498,-0.102901959325,1.36037622878125,1.5466786624250002,-0.0734780549874998,0.7748536125000001,0.9227381289125002,2.02212413711875,1.7232806893374997,0.9067202923937501,0.8027146846312498,1.2197178007125,0.7919882239125,0.41766259389999993,0.6063360749937501,1.7634611295375,1.2283,0.3054812500000001,0.0344633131375001,-0.015229213118750116,1.4858845619749999,0.1618216576374999,0.10130676955000006,0.19034496558124991,0.6099829375875001,1.21061614526875,1.7251419702687498,-0.2662196576999998,0.6902578608000002,0.8313528329000001,1.23495625,9
7,1986,0.8257499999999999,0.659393704075,0.75920338768125,0.6885199247562501,1.3365842105187502,1.14579783383125,0.015230059874999934,1.30202671478125,1.532648682825,0.37096412181250005,0.6746532455,0.9020882189125001,1.9397694007187498,1.8505153389374995,1.0393847821937499,0.5882002860312499,0.8853604437124999,0.6932349623124999,0.6275008886999999,0.37224259979375,1.4122595001375,1.2567,0.35688125000000004,0.018194868937500122,0.027320683081249957,1.2958589461749999,-0.01220511776250006,0.06084313115000007,0.20310417418124987,0.5947649657874999,1.08065012706875,1.71910730986875,-0.30709547409999954,0.7076013820000001,0.6940105707000002,1.22335625,9
8,1987,0.82175,0.7117879034750001,0.8313943398812501,0.4595253645562501,1.0770228625187501,0.99572277963125,0.17767064607499988,1.0450684685812501,1.4299424412250001,0.41593616021249996,0.7248468415000001,0.8467440187125,1.9751927749187501,1.7561829299374998,0.9184456227937501,0.40223894423124995,0.6707319379124999,0.4990831793124999,0.4235663146999997,0.34488187439375007,1.1251426863375,1.2365,0.4270812500000001,0.08477278033750023,0.12924100168124997,1.2045497803749998,-0.07374009476250006,0.03691334435000012,0.1112269997812499,0.5934081733875,1.07378044846875,1.7780222572687499,-0.11888555909999976,0.6890102640000001,0.5811066895,1.14275625,9
9,1988,0.8177500000000001,0.6036155820750001,0.86252322328125,0.41255194555625,0.66091244231875,0.8533701032312502,0.19717061547499987,0.5473976273812501,1.114987111225,0.4127199888124999,0.3905223861,0.8070097505125001,1.77049678711875,1.4179836005374997,0.5435967801937501,0.38769808123125,0.3779011845124999,0.41104387651249985,0.2759398192999998,0.34478231079375016,0.7895435503374999,0.9407000000000002,0.51428125,0.1345011739375001,0.26069813968125,0.939046278575,-0.09120463716249999,0.15371241275000005,0.13417631378124995,0.5683765113875,1.08017080126875,1.5421948112687498,-0.04124025729999995,0.5796289696,0.5602704316999999,1.1349562499999999,9
