Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL
1950,16.27130699157715,14.980874061584473,16.641448974609375,16.51744842529297,17.332014083862305,19.934680938720703,14.386175155639648,14.642816543579102,16.945215225219727,15.797399520874023,15.907268524169922,19.29601287841797,18.933998107910156,15.88295841217041,11.842967987060547,15.21234130859375,13.82025146484375,17.177181243896484,18.231679916381836,20.687591552734375,16.011,14.984,15.858452796936035,15.938905715942383,15.58267593383789,13.33005428314209,12.72944450378418,14.785867691040039,13.526300430297852,13.91456180857462,17.32358741760254,15.152588844299316,14.350772857666016,14.52015495300293,16.652
1951,16.0567626953125,14.853326797485352,16.632787704467773,16.425065994262695,17.05270767211914,19.990488052368164,14.187400817871094,14.062002182006836,17.052017211914062,16.035907745361328,16.02963638305664,20.068084716796875,18.270620346069336,15.697624206542969,11.892685890197754,14.865628242492676,13.551993370056152,17.4864444732666,17.590478897094727,20.96879005432129,16.107,15.1,15.919107437133789,16.733718872070312,15.680924415588379,12.529058456420898,12.539608001708984,14.382822036743164,13.887125968933105,13.744639781096142,17.079954147338867,15.209142684936523,14.49063777923584,15.006539344787598,16.504
1952,16.117843627929688,15.530109405517578,15.802009582519531,16.789203643798828,17.4996280670166,19.916378021240234,14.063299179077148,14.33963394165039,16.746009826660156,16.296764373779297,15.929439544677734,19.680435180664062,18.397642135620117,15.959627151489258,12.160161972045898,15.067622184753418,13.594664573669434,17.402013778686523,17.10953712463379,20.929643630981445,15.564,15.347,15.86347770690918,16.0606632232666,14.98337459564209,12.74162483215332,12.306702613830566,14.308891296386719,13.719222068786621,14.274635998145525,17.253768920898438,15.50296401977539,14.100455284118652,15.827392578125,16.491
1953,15.413739204406738,15.551636695861816,16.17363739013672,16.858572006225586,18.047807693481445,19.673730850219727,14.243844032287598,14.24815559387207,16.553890228271484,15.816915512084961,16.369266510009766,19.53537940979004,18.458812713623047,15.898691177368164,12.168234825134277,14.925942420959473,13.812902450561523,16.778841018676758,17.515531539916992,21.31583595275879,15.508,15.515,15.689298629760742,15.923270225524902,15.149680137634277,12.718775749206543,12.154193878173828,14.580318450927734,13.548367500305176,14.463552793389995,16.833393096923828,15.574776649475098,13.79984188079834,15.661050796508789,16.074
1954,15.574023246765137,15.396627426147461,16.15360450744629,17.014257431030273,18.120759963989258,19.412776947021484,14.45108413696289,13.951062202453613,16.585216522216797,15.363316535949707,15.730873107910156,19.824647903442383,18.581314086914062,16.394203186035156,11.9675874710083,15.730506896972656,13.26333236694336,17.303234100341797,17.878156661987305,21.619659423828125,15.51,15.298,15.576126098632812,15.977804183959961,14.801186561584473,12.287981986999512,12.50368595123291,15.285261154174805,13.591026306152344,14.165445032476065,17.677234649658203,15.708083152770996,13.968369483947754,15.541301727294922,15.806
1955,15.431279182434082,15.608203887939453,15.740042686462402,16.742326736450195,17.264497756958008,19.24881935119629,14.350628852844238,14.333364486694336,16.148019790649414,15.644002914428711,15.869592666625977,19.714078903198242,18.2644100189209,16.80754280090332,11.661943435668945,15.585814476013184,13.566473007202148,17.406267166137695,17.727645874023438,21.18701934814453,15.04,15.111,15.557785034179688,15.66386890411377,14.905011177062988,12.373483657836914,12.568614959716797,14.616250038146973,13.666730880737305,14.559395088197306,17.655967712402344,15.538955688476562,14.299657821655273,15.432145118713379,16.408
1956,15.955100059509277,15.518911361694336,15.469569206237793,16.49003791809082,17.338619232177734,19.425134658813477,14.761860847473145,14.12632942199707,16.88349723815918,16.068862915039062,15.827285766601562,19.636192321777344,18.18993377685547,16.11296272277832,11.624116897583008,15.430804252624512,13.796280860900879,17.359928131103516,17.413818359375,21.494247436523438,15.046,14.763,16.057693481445312,15.588499069213867,15.318516731262207,12.68055248260498,12.598489761352539,14.550877571105957,13.762977600097656,14.037085454992456,17.82476806640625,15.498476028442383,14.096036911010742,15.134082794189453,16.472
1957,16.349084854125977,15.805943489074707,15.23089599609375,16.608165740966797,17.134145736694336,19.74191665649414,14.64380168914795,14.606670379638672,16.46786880493164,15.862773895263672,15.712199211120605,20.103927612304688,17.56479835510254,15.940526008605957,11.68161392211914,15.367500305175781,13.772488594055176,17.823820114135742,18.10599136352539,21.523651123046875,15.562,14.551,15.755220413208008,14.963834762573242,15.515822410583496,12.844099044799805,12.392749786376953,13.875940322875977,13.840753555297852,14.245633715312035,17.638675689697266,15.24208927154541,13.753419876098633,15.333914756774902,16.412
1958,16.28125,15.455984115600586,15.342877388000488,16.86075210571289,17.609514236450195,19.5140438079834,14.591538429260254,14.700913429260254,16.798288345336914,15.732720375061035,15.990461349487305,20.37554168701172,17.243118286132812,15.47654914855957,11.630816459655762,15.037412643432617,13.443482398986816,17.488605499267578,18.17296600341797,21.811830520629883,15.341,14.652,16.17436981201172,15.325518608093262,14.876161575317383,12.568513870239258,12.399883270263672,13.521718978881836,13.70319652557373,14.284101170239191,18.26681900024414,15.278690338134766,14.124471664428711,15.55452823638916,16.235
1959,16.100923538208008,15.3247709274292,15.486763000488281,16.880247116088867,17.62851333618164,19.56548500061035,14.63548755645752,14.55504322052002,16.274133682250977,15.65462589263916,15.95648193359375,20.49808120727539,17.44454574584961,15.38160228729248,11.24953842163086,15.425643920898438,13.364635467529297,17.18010711669922,17.78583335876465,21.85431671142578,15.264,14.676,15.387649536132812,15.37417221069336,15.614538192749023,12.594427108764648,12.393261909484863,14.231003761291504,13.562292098999023,14.217900018487681,18.176610946655273,15.10389518737793,14.23131275177002,15.4801025390625,16.596
1960,16.29014778137207,15.187705993652344,16.068870544433594,17.17841339111328,18.051860809326172,19.35586166381836,14.220154762268066,14.717497825622559,15.820582389831543,15.656970024108887,15.534520149230957,19.744287490844727,17.29541015625,15.811010360717773,11.343079566955566,15.184272766113281,13.708385467529297,17.850900650024414,17.601285934448242,21.360807418823242,15.47,14.864,15.627494812011719,16.106876373291016,15.74997329711914,12.863569259643555,12.236747741699219,15.199036598205566,13.80908489227295,14.369615997385125,17.988439559936523,15.467734336853027,14.23979377746582,14.965499877929688,16.47
1961,16.2796688079834,15.138022422790527,14.996971130371094,17.263532638549805,17.787342071533203,20.026355743408203,14.349185943603516,14.840776443481445,15.492522239685059,15.444696426391602,15.506752967834473,20.314523696899414,17.68168067932129,15.882864952087402,11.283387184143066,14.801803588867188,13.480234146118164,18.040929794311523,17.76827621459961,21.166208267211914,15.564,14.574,15.686695098876953,15.87251091003418,15.312088966369629,13.17470645904541,12.133672714233398,14.538314819335938,14.313741683959961,14.381323478914203,18.092798233032227,15.518383979797363,14.265551567077637,14.71493148803711,16.286
1962,16.468975067138672,14.848068237304688,15.193075180053711,17.08588218688965,18.32253646850586,19.84947967529297,13.893518447875977,14.490345001220703,15.417295455932617,15.545212745666504,15.974329948425293,19.644573211669922,17.400529861450195,15.815718650817871,11.450815200805664,14.736924171447754,13.56085205078125,17.78047752380371,16.81758689880371,21.332630157470703,15.804,14.924,15.708313941955566,15.689075469970703,14.569374084472656,12.876885414123535,12.26156234741211,14.53084659576416,13.744759559631348,14.591600677975599,18.389354705810547,15.141304969787598,14.506121635437012,14.907547950744629,16.218
1963,16.391437530517578,15.193680763244629,15.002985954284668,16.82421875,18.046493530273438,19.69992446899414,14.391592979431152,14.500134468078613,15.564107894897461,15.45341968536377,16.411863327026367,21.066211700439453,17.842151641845703,15.953507423400879,11.661540031433105,15.210813522338867,13.684350967407227,17.273765563964844,16.521726608276367,21.513797760009766,16.367,15.174,15.974491119384766,15.245611190795898,14.706339836120605,13.037660598754883,12.425468444824219,14.574797630310059,13.809898376464844,14.494283093613692,18.714963912963867,15.281764030456543,14.50753116607666,15.269022941589355,16.488
1964,16.548847198486328,15.582788467407227,15.474056243896484,17.031742095947266,17.968542098999023,20.107900619506836,14.283044815063477,14.66385269165039,16.214366912841797,15.54455852508545,16.22088623046875,21.805179595947266,17.56076431274414,15.434075355529785,11.860732078552246,15.40086841583252,13.866853713989258,17.459047317504883,16.904556274414062,21.62141227722168,16.009,14.878,16.201274871826172,15.549291610717773,14.422426223754883,12.871947288513184,12.223370552062988,14.523924827575684,13.529915809631348,14.389041073254884,18.6820125579834,15.269587516784668,14.261622428894043,15.375782012939453,16.662
1965,16.834327697753906,15.57405948638916,15.280006408691406,16.996639251708984,18.476686477661133,20.61623764038086,14.20698070526123,14.635416030883789,16.360149383544922,15.504090309143066,15.943533897399902,20.494638442993164,18.442819595336914,16.14824104309082,11.798569679260254,15.360751152038574,14.093268394470215,17.74818992614746,17.26909065246582,21.250110626220703,15.85,14.997,16.176593780517578,15.54986572265625,14.480890274047852,13.253791809082031,12.38908863067627,14.88603687286377,13.724227905273438,14.413815280784645,19.00151252746582,15.332905769348145,14.610782623291016,15.782636642456055,16.493
1966,16.073232650756836,15.221253395080566,15.132445335388184,17.190223693847656,18.79897689819336,20.165685653686523,14.298776626586914,14.52688980102539,16.322017669677734,15.786808013916016,15.452796936035156,20.759645462036133,18.5572452545166,15.969993591308594,11.892273902893066,15.384360313415527,13.68952465057373,17.83470344543457,17.781845092773438,21.130884170532227,15.95,15.067,16.39532470703125,16.28868293762207,14.97431468963623,13.416149139404297,12.395118713378906,14.753140449523926,13.9364013671875,14.390953870814824,18.99768829345703,14.971258163452148,14.546028137207031,15.326952934265137,17.177
1967,16.62060546875,14.885358810424805,15.670105934143066,17.22861671447754,18.786226272583008,19.28829574584961,14.405652046203613,14.958410263061523,16.167339324951172,15.556865692138672,16.001007080078125,21.245277404785156,18.606796264648438,16.3295955657959,11.820722579956055,15.587543487548828,13.813122749328613,17.53428077697754,17.543672561645508,21.006847381591797,15.402,14.413,16.168975830078125,15.935773849487305,14.602282524108887,12.745223045349121,12.265073776245117,14.689118385314941,14.410004615783691,14.28041906195878,19.19519805908203,14.834733963012695,14.638632774353027,15.53886604309082,17.897
