Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL
1950,5.5642242431640625,5.931148052215576,4.306155681610107,5.606451034545898,7.850483417510986,8.074843406677246,5.071047306060791,5.764936923980713,5.813509464263916,5.217613220214844,5.601525783538818,5.639317512512207,9.375534057617188,7.858125686645508,4.365729331970215,6.483784198760986,5.098199367523193,8.234855651855469,8.299912452697754,10.638916969299316,6.664,6.743,6.714738368988037,6.696402549743652,5.275367736816406,3.525062084197998,6.085566997528076,4.561243057250977,5.207219123840332,4.330362503736869,4.396061420440674,9.706513404846191,5.60533332824707,6.939623832702637,7.237
1951,5.979252815246582,5.808202266693115,5.140270709991455,6.341976165771484,7.544861793518066,7.111903667449951,4.622836589813232,6.370757579803467,6.222468376159668,5.473923206329346,6.348728179931641,4.9630045890808105,9.41465950012207,8.46420955657959,4.701518535614014,6.024838924407959,5.277728080749512,8.02116584777832,9.673453330993652,10.625890731811523,6.614,7.325,6.9480485916137695,6.508620262145996,4.604071617126465,3.9783806800842285,5.412259101867676,4.78526496887207,4.137519359588623,5.171669961538657,3.740184783935547,9.723981857299805,5.830294132232666,6.7636399269104,7.217
1952,6.439313888549805,4.910829544067383,4.884380340576172,6.140920162200928,7.523655414581299,8.315993309020996,5.124574184417725,5.337335586547852,6.46012020111084,6.01414680480957,6.522069454193115,4.743544101715088,9.093382835388184,7.911996841430664,4.77233362197876,6.409518718719482,5.609643936157227,8.040034294128418,9.03884220123291,10.774862289428711,6.839,6.977,6.868396759033203,6.656752586364746,5.3590168952941895,4.326359272003174,5.736210823059082,4.86995267868042,4.0782294273376465,5.810811449872113,3.7404568195343018,9.751641273498535,4.683964252471924,7.389155387878418,7.218
1953,5.865782737731934,5.725234508514404,4.555909156799316,6.553487300872803,8.092024803161621,8.136481285095215,5.177744388580322,5.810162544250488,6.3391242027282715,5.222620487213135,6.828311443328857,4.455135345458984,8.359099388122559,8.542787551879883,4.332784175872803,6.000085830688477,5.825112342834473,8.170058250427246,9.230202674865723,11.504565238952637,5.855,6.459,7.161539077758789,7.1289849281311035,5.076022148132324,4.615809440612793,5.89546012878418,4.7823052406311035,4.206958770751953,5.417839295510649,4.600667476654053,9.611516952514648,5.387722015380859,6.465763568878174,7.487
1954,5.683928489685059,5.351746559143066,4.602449417114258,6.593114376068115,7.233545780181885,8.04211139678955,5.169493675231934,5.406796455383301,6.272181034088135,5.53615140914917,6.5334320068359375,4.653952598571777,8.229047775268555,7.7172160148620605,4.458778381347656,7.035671710968018,5.828378677368164,7.645583152770996,9.262740135192871,10.904300689697266,5.672,6.828,6.897470951080322,7.0281877517700195,5.0462470054626465,4.177429676055908,6.613893985748291,5.150030612945557,4.321932315826416,4.876255612128688,4.687231540679932,9.881206512451172,4.829252243041992,6.693164348602295,7.339
1955,5.611450672149658,5.509709358215332,4.466179847717285,6.689964771270752,7.461705684661865,8.503874778747559,4.078774452209473,5.261634826660156,5.771456241607666,5.1375226974487305,6.270592212677002,4.789771556854248,8.40442180633545,7.584497451782227,4.754090785980225,6.300679683685303,4.633768081665039,8.7827730178833,8.93797779083252,11.615015983581543,6.288,6.676,7.306341171264648,6.525664329528809,5.4037251472473145,4.574109077453613,5.186672687530518,4.80981969833374,4.7330451011657715,4.259162091314992,5.005253314971924,9.601397514343262,5.56119966506958,6.778155326843262,7.547
1956,6.2081732749938965,5.508245944976807,4.786557197570801,7.672759056091309,6.953331470489502,8.102065086364746,5.055037975311279,5.637109756469727,6.156068801879883,5.418411731719971,7.042084693908691,5.594457626342773,8.5237455368042,7.183000087738037,4.523427486419678,6.251204013824463,4.106766700744629,8.578849792480469,9.071541786193848,11.97273063659668,5.661,6.165,7.644902229309082,5.593775272369385,5.33799934387207,4.121328830718994,5.5381622314453125,4.677766799926758,4.705438613891602,4.204687279168744,5.346991539001465,9.709075927734375,4.937864780426025,6.692971229553223,7.669
1957,6.343389987945557,5.521921634674072,4.414297580718994,7.122220993041992,7.64003324508667,7.941667556762695,4.365754127502441,6.179774284362793,6.32975435256958,5.251864910125732,7.2749924659729,5.004708766937256,9.02428150177002,7.141407489776611,3.804506778717041,6.457660675048828,5.270410537719727,8.182121276855469,8.558334350585938,12.274253845214844,6.647,6.346,7.262932777404785,7.034120559692383,5.743686676025391,4.327035427093506,4.662206172943115,4.567975997924805,4.8421101570129395,4.512647664929414,5.550799369812012,9.812803268432617,4.746920585632324,6.952682018280029,7.329
1958,6.240284442901611,5.516445636749268,4.211702346801758,7.260565757751465,8.664905548095703,8.07630729675293,5.184812068939209,6.294236183166504,6.9185333251953125,5.5354108810424805,7.164214611053467,4.985976219177246,8.740888595581055,7.783832550048828,4.830737113952637,6.537508487701416,5.075545787811279,8.046104431152344,8.90418529510498,12.284996032714844,6.759,6.237,7.82443904876709,6.551065444946289,4.909243106842041,4.66221809387207,5.042120456695557,5.008610725402832,4.7433319091796875,5.045603100230805,4.636714458465576,9.926068305969238,6.2459282875061035,7.380069255828857,7.231
1959,5.884124279022217,5.4094157218933105,4.718404293060303,5.864412307739258,8.203938484191895,7.357120037078857,4.086280345916748,5.836069107055664,6.726903915405273,5.246363639831543,6.27773380279541,4.780703067779541,8.788594245910645,8.106799125671387,4.689942836761475,6.762157917022705,4.741624355316162,9.03220272064209,8.338689804077148,11.709811210632324,6.426,6.473,7.690737724304199,6.546748161315918,4.763181209564209,4.897111892700195,5.977162837982178,4.886740684509277,5.170438766479492,4.940832403631455,5.020211219787598,10.047378540039062,6.029202938079834,7.547696113586426,7.762
1960,5.729362964630127,6.423100471496582,4.339744567871094,7.387876510620117,8.496761322021484,7.898193836212158,4.633640766143799,6.066921710968018,6.868592262268066,5.0384721755981445,6.424259662628174,5.223272800445557,8.67949390411377,8.005058288574219,4.591797828674316,5.679175853729248,4.353296279907227,8.1072416305542,8.108160972595215,12.122746467590332,6.99,6.276,7.190150737762451,6.858699798583984,4.986984729766846,4.35866641998291,5.966282844543457,4.660422325134277,4.632684707641602,5.171153472338086,3.8019351959228516,10.156908988952637,5.381044387817383,7.144696235656738,7.311
1961,6.27193546295166,5.63147497177124,4.3894944190979,7.594130039215088,7.530399322509766,7.851179122924805,3.821613311767578,6.220836639404297,6.464931964874268,5.210132598876953,6.0452880859375,5.4295172691345215,8.305485725402832,8.015609741210938,4.620710849761963,6.706347465515137,4.640623092651367,8.21917724609375,8.357808113098145,12.204145431518555,6.65,6.733,7.195659160614014,6.352354049682617,5.441612720489502,4.15532112121582,5.807208061218262,4.840515613555908,4.7158660888671875,5.899781864212751,4.653061866760254,9.624741554260254,5.403292655944824,7.77565336227417,7.785
1962,5.979222297668457,5.576853275299072,4.754273891448975,8.437954902648926,8.182196617126465,8.071257591247559,2.8444886207580566,5.645658016204834,6.987422466278076,5.79645299911499,7.4201226234436035,5.641895771026611,8.178803443908691,7.862360000610352,4.7112250328063965,6.804380893707275,4.037487983703613,9.121354103088379,8.893430709838867,12.766057968139648,6.579,6.747,7.218074798583984,6.684580326080322,4.35785436630249,4.370003700256348,5.458430767059326,5.024624824523926,4.479763031005859,5.557854850491382,5.711582660675049,9.536774635314941,6.178281784057617,7.77688455581665,7.712
1963,5.513433456420898,5.554450035095215,4.160106658935547,8.162078857421875,8.542327880859375,8.088452339172363,5.146303176879883,6.333658695220947,7.367744445800781,4.798823356628418,6.93105411529541,5.424196243286133,8.387320518493652,7.98394250869751,4.334122180938721,6.963751316070557,4.985052108764648,8.409482955932617,9.153435707092285,12.217676162719727,7.12,7.152,7.2312774658203125,6.520506858825684,4.786088466644287,5.007999897003174,4.7189483642578125,4.57129430770874,5.290931224822998,6.0597865624074325,5.578161716461182,9.808209419250488,6.2607197761535645,7.277937412261963,7.59
1964,6.446608543395996,5.732896327972412,4.3405303955078125,7.644559860229492,8.604520797729492,7.546006679534912,3.609828233718872,5.742112159729004,7.204552173614502,5.727628231048584,7.354665279388428,5.375603675842285,8.039352416992188,7.647398948669434,4.5771589279174805,7.3600754737854,5.481664180755615,9.049800872802734,8.320860862731934,12.356947898864746,7.506,6.643,6.997565269470215,6.217681884765625,5.391125679016113,5.0443878173828125,5.81907320022583,5.123970985412598,5.303326606750488,5.529593440865695,5.732968807220459,9.316536903381348,5.851813316345215,7.7473015785217285,8.386
