Year,mo,data-type,region,Extent,Area,Month
1979,3,      Goddard,      N,16.34,13.21,March
1980,3,      Goddard,      N,16.04,12.99,March
1981,3,      Goddard,      N,15.63,12.71,March
1982,3,      Goddard,      N,16.04,13.07,March
1983,3,      Goddard,      N,16.09,12.93,March
1984,3,      Goddard,      N,15.58,12.55,March
1985,3,      Goddard,      N,15.89,12.75,March
1986,3,      Goddard,      N,15.91,12.72,March
1987,3,      Goddard,      N,15.82,12.83,March
1988,3,      Goddard,      N,15.96,13.9,March
1989,3,      Goddard,      N,15.42,13.21,March
1990,3,      Goddard,      N,15.87,13.51,March
1991,3,      Goddard,      N,15.42,13.42,March
1992,3,      Goddard,      N,15.48,13.48,March
1993,3,      Goddard,      N,15.81,13.77,March
1994,3,      Goddard,      N,15.55,13.55,March
1995,3,      Goddard,      N,15.26,13.34,March
1996,3,      Goddard,      N,15.12,12.9,March
1997,3,      Goddard,      N,15.47,13.3,March
1998,3,      Goddard,      N,15.6,13.57,March
1999,3,      Goddard,      N,15.4,13.54,March
2000,3,      Goddard,      N,15.22,13.17,March
2001,3,      Goddard,      N,15.52,13.64,March
2002,3,      Goddard,      N,15.35,13.42,March
2003,3,      Goddard,      N,15.48,13.42,March
2004,3,      Goddard,      N,14.99,12.99,March
2005,3,      Goddard,      N,14.69,12.74,March
2006,3,      Goddard,      N,14.42,12.52,March
2007,3,      Goddard,      N,14.54,12.56,March
2008,3,      Goddard,      N,15.18,13.53,March
2009,3,      Goddard,      N,14.98,13.43,March
2010,3,      Goddard,      N,15.14,13.53,March
2011,3,      Goddard,      N,14.55,12.83,March
2012,3,      Goddard,      N,15.2,13.41,March
2013,3,      Goddard,      N,15.03,13.45,March
2014,3,      Goddard,      N,14.76,12.95,March
2015,3,      Goddard,      N,14.37,12.78,March
2016,3,      Goddard,      N,14.4,12.61,March
2017,3,      Goddard,      N,14.29,12.61,March
2018,3,      Goddard,      N,14.3,12.69,March
2019,3,      Goddard,      N,14.57,12.89,March
2020,3,      Goddard,      N,14.73,13.03,March
2021,3,      NRTSI-G,      N,14.64,12.91,March
1979,9,      Goddard,      N,7.05,4.58,Septmember
1980,9,      Goddard,      N,7.67,4.87,Septmember
1981,9,      Goddard,      N,7.14,4.44,Septmember
1982,9,      Goddard,      N,7.3,4.43,Septmember
1983,9,      Goddard,      N,7.39,4.7,Septmember
1984,9,      Goddard,      N,6.81,4.11,Septmember
1985,9,      Goddard,      N,6.7,4.23,Septmember
1986,9,      Goddard,      N,7.41,4.72,Septmember
1987,9,      Goddard,      N,7.28,5.64,Septmember
1988,9,      Goddard,      N,7.37,5.36,Septmember
1989,9,      Goddard,      N,7.01,4.86,Septmember
1990,9,      Goddard,      N,6.14,4.55,Septmember
1991,9,      Goddard,      N,6.47,4.51,Septmember
1992,9,      Goddard,      N,7.47,5.43,Septmember
1993,9,      Goddard,      N,6.4,4.58,Septmember
1994,9,      Goddard,      N,7.14,5.13,Septmember
1995,9,      Goddard,      N,6.08,4.43,Septmember
1996,9,      Goddard,      N,7.58,5.62,Septmember
1997,9,      Goddard,      N,6.69,4.89,Septmember
1998,9,      Goddard,      N,6.54,4.3,Septmember
1999,9,      Goddard,      N,6.12,4.29,Septmember
2000,9,      Goddard,      N,6.25,4.35,Septmember
2001,9,      Goddard,      N,6.73,4.59,Septmember
2002,9,      Goddard,      N,5.83,4.03,Septmember
2003,9,      Goddard,      N,6.12,4.05,Septmember
2004,9,      Goddard,      N,5.98,4.39,Septmember
2005,9,      Goddard,      N,5.5,4.07,Septmember
2006,9,      Goddard,      N,5.86,4.01,Septmember
2007,9,      Goddard,      N,4.27,2.82,Septmember
2008,9,      Goddard,      N,4.69,3.26,Septmember
2009,9,      Goddard,      N,5.26,3.76,Septmember
2010,9,      Goddard,      N,4.87,3.34,Septmember
2011,9,      Goddard,      N,4.56,3.21,Septmember
2012,9,      Goddard,      N,3.57,2.41,Septmember
2013,9,      Goddard,      N,5.21,3.78,Septmember
2014,9,      Goddard,      N,5.22,3.74,Septmember
2015,9,      Goddard,      N,4.62,3.42,Septmember
2016,9,      Goddard,      N,4.53,2.91,Septmember
2017,9,      Goddard,      N,4.82,3.35,Septmember
2018,9,      Goddard,      N,4.79,3.35,Septmember
2019,9,      Goddard,      N,4.36,3.17,Septmember
2020,9,      Goddard,      N,4,2.83,Septmember
